bls_occupation,bls_year,total_employed_thousands,percent_women,women_share,percent_white,percent_black,percent_asian,percent_hispanic_or_latino,source_url
"Maintenance and repair workers, general",2022,646.0,5.4,0.054000000000000006,82.1,11.7,2.8,23.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Electrical power-line installers and repairers,2022,119.0,1.5,0.015,89.9,5.2,0.9,12.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Telecommunications line installers and repairers,2022,134.0,4.9,0.049,86.8,8.4,0.9,22.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Precision instrument and equipment repairers,2022,53.0,10.9,0.109,85.6,9.4,4.0,16.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Other installation, maintenance, and repair workers",2022,173.0,7.7,0.077,89.6,3.5,1.5,21.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Production, transportation, and material moving occupations",2022,20082.0,25.1,0.251,72.7,18.2,5.0,24.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Production occupations,2022,8256.0,29.8,0.298,75.3,15.0,5.9,24.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
First-line supervisors of production and operating workers,2022,799.0,22.7,0.22699999999999998,76.6,14.9,5.3,18.3,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Electrical, electronics, and electromechanical assemblers",2022,102.0,49.3,0.493,67.5,13.5,18.7,25.1,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Other assemblers and fabricators,2022,1047.0,37.5,0.375,66.0,21.5,7.7,23.9,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Bakers,2022,230.0,63.6,0.636,77.5,10.0,8.5,31.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Butchers and other meat, poultry, and fish processing workers",2022,252.0,25.4,0.254,70.7,18.3,7.5,33.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Food batchmakers,2022,94.0,58.1,0.581,77.6,12.7,5.1,24.7,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Food processing workers, all other",2022,142.0,36.4,0.364,66.6,17.4,6.2,38.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Computer numerically controlled tool operators and programmers,2022,78.0,10.3,0.10300000000000001,80.0,9.9,6.9,22.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",2022,60.0,13.7,0.13699999999999998,82.1,13.4,0.0,17.8,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Machinists,2022,313.0,6.8,0.068,88.2,5.7,3.5,13.0,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Welding, soldering, and brazing workers",2022,550.0,5.1,0.051,82.7,10.2,2.9,25.5,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Other metal workers and plastic workers,2022,387.0,20.3,0.203,71.0,16.1,8.6,22.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Printing press operators,2022,151.0,29.0,0.29,76.3,13.2,5.5,21.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Laundry and dry-cleaning workers,2022,115.0,70.5,0.705,68.9,20.4,10.0,37.2,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Sewing machine operators,2022,131.0,69.9,0.6990000000000001,73.6,14.0,7.7,32.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
"Tailors, dressmakers, and sewers",2022,58.0,78.2,0.782,72.8,6.6,18.0,19.4,https://www.bls.gov/cps/aa2022/cpsaat11.htm
Cabinetmakers and bench carpenters,2022,71.0,10.3,0.10300000000000001,97.3,2.2,0.0,30.6,https://www.bls.gov/cps/aa2022/cpsaat11.htm
